title,image link,url,brand,description
PLATES Iteration 2:  Body Issue,//3ssstudios.com/cdn/shop/files/1_73f16a10-b0a5-4308-879c-a822c4005dfc_1080x1530.png?v=1750364239,https://3ssstudios.com/collections/publications/products/plates-2-body-issue,Various Artists,"The physicality of a human body denotes our essential relationship to forms and being. Yet, if placed in different contexts, the notion of body could collapse into a synonym to a surface, a machine, a system, or an automated assemblage in capitalism, media technology, politics, and the Internet. A body could lack transparency, concreteness and authenticity while still claiming its very identity and functionality. In Body Issue, PLATES presents collective voices which address issues around a corporal body, a virtual entity, body politic, identity, body mechanics, bodilessness, expressive/performative body, body as tools, or any body issue in relation to their practice.Contributors include:Bryson Lee, Can Can Press, Clement Valla, Common Imprint, Laura Coombs + Mindy Seu, Luna Maurer, Studio Moniker, Radical Characters + Body & Forma, Source Type + Mara Frazier, Stephanie Specht, Tiger DingsunCreative Direction & Design: RELATED DEPARTMENT & Can Yang28.5 x 21 cm,  Paperback, Rubber BandPublished by Page Bureau, 2025Distributed by Related Department—PLATES serves an editorial and curatorial response to contemporary design practice and criticism. Each issue dives into a specific topic that is pertinent to the design reality we live in, presented and archived in a series of image and textual plates in an organic, iterative and evolving format."
PJUNCTURE (signed),//3ssstudios.com/cdn/shop/files/1_da8e8dfd-80cb-485f-8e8e-e942952eb5a1_1080x1530.png?v=1750177353,https://3ssstudios.com/collections/publications/products/pjuncture,Kian McKeown,"Pjuncture is a close facsimile of Kian McKeown’s 2018–2019 sketchbook that gives insight to an artist’s everyday practice of drawing and note-taking. 128 full-color pages present the artist’s hand, realized drawings, sketches, plans and mathematical calculations for sculptures, to-do lists, smudges and impressions. Motifs poke through that can be traced to McKeown’s present practice and continuing interests, visions invoking that which animate a life—moments of tension, serendipity, and awkwardness, sharp bodily pains and perversions, and mysteries under the skin, all rendered and drawn beautifully with piercing honesty.Kian McKeown (b. 1999, New York, NY) works across drawing, sculpture, collage, and installation made in response to his daily waking fantasies and desires for something more. He received his BFA from the Cooper Union in 2021, attended the Skowhegan School of Painting and Sculpture in 2024, is a current Artist Fellow at the National Arts Club, and a 2026 MFA candidate at Hunter College. He has exhibited at venues including Mama Projects, the NARS Foundation, Fragment Gallery, Giovanni’s Room, and Harkawik.Published by Figure Bound, 2025 in New YorkEdition of 500Softcover128 pages9¹⁄₂ × 6¹⁄₂ inches"
A *Co-* Program for Graphic Design,//3ssstudios.com/cdn/shop/files/1_642c9354-0823-46c7-8534-54030add8493_1080x1530.png?v=1750176463,https://3ssstudios.com/collections/publications/products/a-co-program-for-graphic-design,David Reinfurt,"“Over the years, David has shown me that design isn’t just about aesthetics or function—it’s about collaboration, experimentation, and constantly questioning what design can be.A *Co-* Program for Graphic Designis a fundamental exploration into the history of design, how it has shaped our society and reveals the often overlooked power that design holds in shaping our future.”—Martine Syms, Artist and filmmaker“'All together now,' as The Beatles sang in 1967. Those three simple words seem to be at the core of David Reinfurt’s argument, as he convincingly shows that graphic design, as a living practice, exists exactly in the intersection of multiplicity (‘All’), collectivity (‘Together’), and modernity (‘Now’).”—Experimental Jetset, Graphic design studioFrom ancient Rome to outer space,A *Co-* Program for Graphic Designfeatures contributions by Danielle Aubert, Tauba Auerbach, Barbara Glauber, Shannon Harvey, Adam Michaels, Philip Ording, and Adam Pendleton. This collectively driven text expands David Reinfurt’s pragmatic and experimental approach to pedagogy into a collaborative project that weaves together a multiplicity of voices to present a polyphonic approach to design history and teaching.This book extends Reinfurt’s highly acclaimed A *New* Program for Graphic Design to include material from three new Princeton University courses (Circulation, Multiplicity, and Research) expressly designed for online teaching.These courses present a *co-*llaborative and *co-*operative way of telling and teaching design history, taking on subjects from the Detroit Printing Co-op, Corita Kent, and Charles and Ray Eames, to Marshall McLuhan, Sylvia Harris, and Virgil Abloh. Through a series of in-depth historical case studies and assignments that progressively build in complexity, the book serves as a practical guide to visually understanding the history—and shaping the future—of our designed world.6 × 9 inches, 256 pages, softcoverISBN 978-1-941753-72-9Design by IN-FO.CO"
Prosodic Notes / 浮生笔记,//3ssstudios.com/cdn/shop/files/640_10_1080x1530.png?v=1750030297,https://3ssstudios.com/collections/publications/products/prosodic-notes-%E6%B5%AE%E7%94%9F%E7%AC%94%E8%AE%B0,Various Artists,"Prosodic Notesis produced on the occasion of Prosodic Grains held at BY ART MATTERS (from November 2, 2024 to March 30, 2025). This catalogues is planned by BY ART MATTERS and te editions.The exhibitionProsodic Grainsat BY ART MATTERS 天目里美术馆 draws inspiration from Chinese literature’s pursuit of natural law and balanced beauty in phonology. It features works from over a dozen artists across different countries and regions, exploring the origins, elasticity, and limitations of human communication. For individuals, language and music carry fleeting emotions and thoughts; for human communities, they embody living histories and shared memories that reside in our collective consciousness.The publicationProsodic Notesemerges from the exhibition but isn’t strictly bound by its concepts—it can be viewed as an alternative aspect of the exhibition. “Notes” carries dual meaning—both written observations and musical notation. The former emphasizes process, while the latter suggests that even the minutiae within the book are like musical notes on paper. The harmonies, collisions, and fusions they create are precisely what we hope to echo with the readers. These contents flow freely, transcending editorial boundaries, inviting readers to drift upon their currents and discover their own interpretations.Artists/Authors: Allora Calzadilla, Oliver Beer, Natalie Bookchin, Chang Yuchen, Jonathas de Andrade, Ryan Gander, Guo Tiantian, Ann Veronica Janssens, Michel François, Christine Sun Kim, George Koutsouris, Angelica Mesiti, Shen Xin, Su Xiangpan, Layla Vardo, Xue Yayuan, Yang Chi-Chuan, Yao QingmeiEditor: Michael GUO, SUN ManDesigner: maf-works.comCoordination: te editionsAssistant Editor: OU JieruiTranslator: HUANG YutingPuiblished by te editions, 202526 x 18.5 cm, 287 p.Paperback, Exposed Spine, Offset PrintedEnglish & Chinese"
Missing,//3ssstudios.com/cdn/shop/files/1_1f6514ff-f491-4434-9e8d-60f619871dbf_1080x1530.png?v=1749851113,https://3ssstudios.com/collections/publications/products/missing,Mooni Perry,"“Disappearance marks not an end, but a beginning.”Mooni Perry’s „Missing“ traces the trajectory of a journey across Taiwan in 2024. Evolving from research conducted for a video work, this book unfolds as a sensory archive and speculative inquiry into female Taoist communities, displaced sanctity, marginalized mythologies, and the missing body. Guided by spiritual figures such as Mazu, Guanyin, and the Seven Fairies, Perry weaves together field research, fictional fragments, poetic reflection, and visual stills into a rich, multi-layered constellation.The book interlaces temple visits, interpretations of ritual and myth, oral history interviews, encounters with local women practitioners, and atmospheric documentation of sacred sites. This practice extends beyond conventional research, posing a sustained question: How can missing be recorded without the desire to restore or retrieve?Instead of offering resolution, „Missing“ invites readers into the emotional topography of being lost. It is not a search for someone, but a journey undertaken without knowing what has gone missing. In this sense, “disappearance” becomes a generative state from which futurity might emerge.WritersMooni PerryShih-yu HsuN̂g Bo̍k-siôngScriptYan LinMooni PerryIntervieweeLee Fong-maoTranslator (Korean to English)Chaeyoung KimLocal Storytellers in TaiwanN̂g Bo̍k-siôngFiber Chang Hsin TingAtalanta ChangTarot Cards WriterHyejeong YunTarot Cards IllustratorSaitemissLithographyJan SchefflerAmong many, special thanks toPeng Chi-yuanKristina ScepanskiMazu (媽祖) and Tshit-niû-má (七娘媽)Editor: You FengDesign: Sam KimSize: 120 x 170 mmColorPage: 280Including a folded paper house poster and 10 tarot cardsPublished by– Common Imprint, Berlin– Mediabus, Seoul– Westfälischer Kunstverein, MünsterPublished in April 2025Language: English"
Donating books to the reading room,//3ssstudios.com/cdn/shop/files/1_4b590451-756e-4ae7-9c8c-db6fb3a9cb45_1080x1530.png?v=1749929012,https://3ssstudios.com/collections/publications/products/donating-books-to-the-reading-room,Sam Kim,"19 Interviews of donors who donated books to the Common Imprint reading room. To hear the individual voices of the donors and makers and to interview them about their approaches, attitudes and publishing practices.Editor: Sam KimDesigner: Sam KimInterviews:abC – art book in China (@abc_artbookinchina)Ahmad Makia – Sharjah Art Foundation (@housepublishingmakiaahmad)Aimee Lin (@aimeelinsh)Atelier HOKO (@atelierhoko)Kantida Busaba – Bangkok CityCity Gallery (@bangkokcitycity)Bkats3000 (@bkats3000)Chen Yun – 51 Personae (@51personaeproject)Januar Rianto – Further Reading (@further.reading.press)Falgoush Collective (@falgoush)Gloria Glitzer (@gloriaglitzer)Maria Jooyoung (@mariajooyoung)Mira Ying – The Type (@mira.n.ying,@thetype_com)Neutral Colors (@neutral_colors_magazine)Robert Zhao Renhui (@robert_zhao)Beatrix Pang – Small Tune Press (@smalltunepress)Temporary Press (@temporarypress)Kyungyong Lim – The Book Society (@tbs_book_society)White Fungus (@whitefungus)Prickly Paper (@tobidadan)Published by Common Imprint, 2024Edition of 100164 pages, 120×205mm, b/w offset printLanguage: EnglishView this post on InstagramA post shared by Common Imprint (@commonimprint)"
For your convenience,//3ssstudios.com/cdn/shop/files/1_4f1118b7-6c0d-45e8-af44-3a74664137c9_1080x1530.png?v=1749933407,https://3ssstudios.com/collections/publications/products/for-your-convenienc,Of Architecture,"For your convenienceis a publication on Korean convenience culture based around food and convenience stores. Published by Common Imprint in Berlin, the publication invited architect-writers, a curator and chefs to write about historic and current convenience culture in South Korea.These contributions bookend a series of photographs taken by Max Creasy, which documentSABA Convenience Store, a Korean convenience store on Kensington High Street in London. SABA is a mean-while use renovation project byOf architecture, which brings convenience culture and Hangang Ramen to west London.46 pages, 148×210mm, color printLanguage: English"
50 selected books from Asia,//3ssstudios.com/cdn/shop/files/1_036e4c18-dde2-4e2e-b89d-cc4961a1b9a7_1080x1530.png?v=1749930969,https://3ssstudios.com/collections/publications/products/50-selected-books-from-asia,"Sam Kim, Sanghyeok Lee, Eunji Park","Common Imprint’s reading room presents over 600 independent publications from Asia, open by appointment every Friday and Saturday. It aims to create a shared platform and laboratory for investigating publication-related disciplines from South- East– and East Asia. The space will be for anyone who loves books and will host talks, events, workshops, and exhibitions relating to Asian publications in the field of fine art, photography, film, design and architecture.The catalogue of theCommon Imprint‘s reading room in Berlin. It features photographs of 50 selected books from Asia and their imprints, a text by designer Sanghyeok Lee about his furniture ENFP(1/16), and an interview with Common Imprint by Eunji Park.Writer: Sanghyeok Lee, Eunji ParkArtist: Sam Kim, Sanghyeok Lee, Eunji ParkPublished by Common Imprint, 2024124 pages, 99×210mm,Second edition of 500Offset Color PrintLanguage: English"
PLAY,//3ssstudios.com/cdn/shop/files/22_bc5a5c57-f3c2-4f7d-b5a5-3a7e2fd6e9f5_1080x1530.png?v=1749327265,https://3ssstudios.com/collections/publications/products/play,"Glorietta Reantaso, Anita Szymczak, Isabelle Wenzel","PLAY is a collaborative work by Isabelle Wenzel, Glorietta Reantaso and Anita Szymczak. It is a polyphony of visions that bring about a joyful representation of women in a free, non-hierarchical manner. As authorship is put aside in favor of cooperation, the perspectives of the three partakers – a photographer, a performer and a stylist – blend together, generating new, unexpected turns. Their teamwork is an uninhibited celebration of joining forces through the body in movement. Liberated by fixed roles, the subject evolves, converts, transpose page after page. A moment of experimentation expressed through printed matter.21 × 29,7 cm, 40 p, ills. colour, wire-o, cut pagesISBN 9789493146747design and edit: Jurgen Maelfeytedition of 800May 2024"
PUTOTOY ISYU 2,//3ssstudios.com/cdn/shop/files/1_53f8ff65-daf9-41d6-be5f-de20a4b63be4_1080x1530.png?v=1749926164,https://3ssstudios.com/collections/publications/products/putotoy-isyu-2,PUTOTOY Magazine,"Guys welcome to my second issue of my magazinePUTOTOY Magazine 2. Here in the issue I have interviewed Danny Caing, Eddie Boy Escudero, JOS MUNDO, Khavn & Michelle Guintu Petty. Also you can find crosswords, recipes and celebrity gossip. Made in Philippines. -PublisherPUTOTOYis: a euphemism or slang term for the male genitalia. a magazine dedicated to paying homage to Filipino artistry and talents across the world.Featuring:Danny CaingEddie Boy Escudero (ebeseyes)JOS MUNDOKhavnMichelle Guintu Petty&“The Indelible Ink of Filipino Love Teams” by Ica de Leon3 CRAZY ICE CANDY RECIPE48 FILIPINOS AND THEIR DREAMSCover Design: Conrado Onilongo Perez (husband of Susan Perez)Text in English and Tagalog202527 x 20 cm, 174 p.PaperbackInk Jet Printed, Perfect Binding"
When You Make No Art,//3ssstudios.com/cdn/shop/files/1_1c8063fd-f482-4a6f-80ea-568cb89230bb_1080x1530.png?v=1750025598,https://3ssstudios.com/collections/publications/products/when-you-make-no-art-4,Wen-You Cai,"Wen-You Cai shares an autobiographical account of moving to America as a child, and growing up in the art world. Each chapter holds inspirations and vignettes from museums, travels, and random encounters around the world that inspired her later endeavors with the formation of Special Special as an art project space and community platform. Cai conceptualizes the idea of a “reluctant artist,” or someone who is immersed in the arts but has trouble making work. The third edition includes a preface written by the author reflecting on this book ten years later.By Wen-You CaiDesigned by Seokhoon Choi2025, Third editionEdition of 500Printed in black and white on purple paperPaperback276 pages6.8 × 4.3 in."
4N Magazine Issue 3,//3ssstudios.com/cdn/shop/files/16.24.37PM_1080x1530.png?v=1750026351,https://3ssstudios.com/collections/publications/products/4n-magazine-issue-3,4N Magazine,"4N is a biannual community magazine showcasing extraordinary foreign talent in America. his issue features twelve creatives from Colombia, China, Turkey, Taiwan, and Pakistan, working in a wide range of disciplines, from illustration, journalism, and set design, to graphic design, books, film, and performance. This issue includes guest editor Annette An-Jen Liu, and a new section called Foreigners in Foreign Places.Featured artists in Issue 3 include Barbie Kim, Xuezhu Jenny Wang, Zhanyi Chen, Renee Yu Jin, Chen Gao, Susana Gomez, Jafri aka MadFree, Yulanda Yo-Rong Shieh, Mengru Zhou, Zeynep Elif Ergin, Michelle Ma, Xinyi Liu.Release: June 2025ISSN: 2995-7419Edition of 500"
Ground Sea / 地浪,//3ssstudios.com/cdn/shop/files/ground-sea_1_1080x1530.png?v=1749059554,https://3ssstudios.com/collections/publications/products/ground-sea-%E5%9C%B0%E6%B5%AA,Kanthy Peng / 阚辛,"Kanthy Peng’s debut artist book,Ground Sea, weaves a visual narrative exploring depression, memory, and loss through 73 photographs.The title takes inspiration from an archaic West Indian term, which anthropologist and feminist Emily Martin used to capture her sensations when observing the Affective Disorder Clinical Rounds, “(Ground-sea is the name) for a swell of the ocean, which occurs in calm weather and without obvious cause, breaking on the shore in heavy roaring billows. A distant storm, out of sight, is often the cause of a ground-sea.”InGround Sea, Peng re-orchestrates photographs spanning over a decade and multiple projects into a new diptych-structured work. The first part,Sunset Watchers, unfolds through black-and-white portraits of three women reenacting a phantom folktale following the 1896 tsunami in Japan—images that also allude to the anxious premonition of those living with depression. Interspersed colored photographs recall Peng’s bodily memory of being bedridden due to illness. The second part,Kuāfù Chases The Sun, carries stills from two video works about Peng’s father, who retired from the People’s Liberation Army ten years after his daughter left home. In these images, his body is constantly propelled forward by the cogs of a system, breaking the stagnation of the first part, only to fall into nothingness ultimately.Peng likens the depressed body to a receptor and amplifier of signals from the future, much like the camera she holds in her hands. In the tension between stillness and motion, waiting and chasing, the book poses a question: Are those paralyzed by the impending catastrophe in need of treatment, or is it the society—numbed by its relentless pursuit of progress—that requires awakening?First published in 202520.3 × 27 cmChinese, EnglishOffset printing, exposed bindingPhotography and Concept: Kanthy PengPoet: Geng YaoDesigner: Muxi Gao, Company Per Form阚辛的首部艺术家书《地浪》以73张照片编织了一场关于抑郁、记忆与失落的视觉叙事。书名“地浪”源于古代西印度群岛人使用的词汇。人类学家、女性主义者Emily Martin在观摩情感性疾患的临床会诊教学时，用“地浪”来形容她的所见所感，“……指的是在晴朗的天气里，毫无任何明显原因之下，海洋突然隆起，以沉重咆哮的巨浪之势扑上岸边。造成地浪的原因，通常是一场发生在肉眼所及之外的遥远风暴。”在《地浪》中，跨越十年、散落于多个项目的照片被阚辛重新构建为一部双曲结构的新作。第一部分《等日落的人》由三名女性的黑白肖像串联，她们重演了日本1896年海啸后的幽灵传说，画面同时也指涉了抑郁症者对未来的焦灼预感；彩色摄影则回溯了艺术家因疾病长期卧床不起的身体记忆。第二部分《夸父逐日》由两部关于父亲的影像作品的截帧构成，阚辛的父亲在女儿离乡十年后从解放军退休，画面中他的身体被不断运转的齿轮裹挟前进，打破了前半部分的 “停滞”状态，却最终陷入虚无。在《地浪》中，阚辛将抑郁的身体比作接收和放大未来信号的装置，就如她手中的相机一样。在静止与动态、等待与追逐的博弈中，这本书质问：究竟是因将至的灾难而深陷抑郁的个体更需要被治疗，还是在盲目进步中逐渐麻木不仁的社会更需要被唤醒？2025第一次印刷20.3 x 27厘米中英双语胶版印刷，裸脊装订摄影及概念：阚辛诗歌：更杳书籍设计：高沐曦, Company Per Form"
Radical Softness as a Boundless Form of Resistance,//3ssstudios.com/cdn/shop/files/XY4WAHQOA2BMGRUNFXLXFKHQ2_1080x1530.jpg?v=1748472098,https://3ssstudios.com/collections/publications/products/radical-softness-as-a-boundless-form-of-resistance,GenderFail,Risograph print 11x17 inches printed at Secret Riso ClubEdition of 50
Mother Nature is a Lesbian,//3ssstudios.com/cdn/shop/files/WOHZHKPRCPESM2CK4RTQW6QT_1080x1530.jpg?v=1748472127,https://3ssstudios.com/collections/publications/products/mother-nature-is-a-lesbian,GenderFail,"This is a risograph print of GenderFail's ""Mother Nature is a Lesbian"" Typeset, featuring information about their downloadable font based on the hand lettering of this protest sign from the gay liberation movement.The print is 11in x 17in. All prints come with a 4in x 4in sticker of the same design.Edition of 25, riso print on French Paper."
"Manifesto, Profit-for-Survival: Discourses on Anti-Capitalist Publishing Practices (5th Edition)",//3ssstudios.com/cdn/shop/files/1_867bda61-6784-405a-a43e-9601c85e589c_1080x1530.png?v=1748624889,https://3ssstudios.com/collections/publications/products/manifesto-profit-for-survival-discourses-on-anti-capitalist-publishing-practices-5th-edition,Be Oakley,"Manifesto, Profit-for-Survival was first written for Towards a Self-Sustaining Publishing Model, a panel created by Be Oakley with Marc Fischer, Vivian Sming, Yuri Ogita, and Devin Troy Strother as part of the 2021 Printed Matter Virtual Art Book Fair.This Manifesto looks at the word profit through an anti-capital lens from the perspective of small and self-publishing practices. From the manifesto, Oakley states:What do we mean when we say “profit” (in the not-for-profit to for-profit spectrum)? As a person trying to live off the “profit” they generate from their work, profit is essential to my livelihood and my ability to continue producing work I am passionate about. So, to say that I am a for-profit does not yet speak to the complexities of a minor, non-capitalist publishing project. The word “profit” without any other context is a simplification; it can’t speak to the complexities of what making a profit means for my life, work, and future. GenderFail is not not-for-profit but profit-for-survival, or profit-to-continue-our-work-without-other-means-of-capital -- and most importantly, to make money for the people I publish, to create profit-for-labor. Defining the means of non-exploitative-profit by describing how our work is created, who is being paid, and the ethics behind its creation is essential when determining the terms of any engagement with “profit.”5th Edition of 15020 pagesRisograph (Black, Red, and Medium Blue)"
Moments before Tandav / 在坦達瓦舞之前,//3ssstudios.com/cdn/shop/files/MbT_1_1080x1530.png?v=1748210772,https://3ssstudios.com/collections/publications/products/moments-before-tandav-%E5%9C%A8%E5%9D%A6%E9%81%94%E7%93%A6%E8%88%9E%E4%B9%8B%E5%89%8D,Mark Morris,"""This is a story conveyed to me by a dear friend, who was wrongfully convicted of a crime he didn’t commit, and became a temporary resident at the Sungai Buloh prison in Malaysia...""Moments before Tandavis a story that happened in a Malaysian prison. Amidst the complexity of ethnic relations and social realities in Malaysia, a person who has been wrongly convicted and temporarily sentenced to a prison term, is left without any support and seeking for spiritual solace.The main part of the book explores the subtle connections between food, religion, and the government, presented in the form of an archival document.The “Glossary” includes five subjects : “Tandav,” “Sungai Bulloh Prison,” “This Could Be Us,” “Lingam,” and “Bodhi Tree.” Interspersed with explanations of terms, stories, and real-life accounts, this book presents a deeply complex relationship between criminals, the prison system, racial problems and immigrant populations.The book is published in four languages: English, Tamil, Malay, and Traditional Chinese, contains four pages of documents, one photograph, and a glossary booklet.「這是一位我的好朋友告訴我的故事：他被誤判了一項他沒有犯的罪行，並成為馬來西亞雙溪毛糯監獄的臨時居民...」《在坦達瓦舞之前》是關於一個發生在馬來西亞監獄中的故事。在複雜的人種關係以及社會現實中，主角因誤判而暫時進入監獄服刑，描述了在沒有任何精神支柱的困境下尋找心靈慰藉的過程。此書的「本篇」探問了關於食物、宗教以及政府機構之間的微妙連結，以類文件檔案的形式呈現。「詞彙表」部分則收錄了五項主題：「坦達瓦舞」、「雙溪毛糯監獄」、「這也可能是我們」、「林伽」以及「菩提樹」，以名詞解釋、故事與真實報導相互穿插，體現犯罪行為、監獄系統、種族和外來移民之間既深刻又複雜的關係。本書以四種語言：英文、坦米爾文、馬來文及繁體中文出版，包含四頁文件、一張照片以及一本詞彙本。Mark Morris (b.1992)is an artist born in Kuala Lumpur, Malaysia and is now based in Hamburg, Germany. His work focuses on the interpretation of different coping mechanisms in the society, taking elements from flea market finds, daily objects, verbal stories, personal experiences and social observations. His installation work often appeared  in a smooth and restrained form but presents deep emotions hidden in the civic cultural lives.21 x 14.8 cm4 + 20 pages + 1 photo, Inkjet & RisoprintISBN: 978-626-97804-5-7English, Malay, Tamil, Traditional ChineseEdition of 200April 2025"
